acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,popularity,speechiness,tempo,valence,year,Song,Weeks on Chart,Average Previous Week Position,Week Position
0.5870000000000001,thompson twins,0.7,266160,0.5479999999999999,0.0,5,0.0699,-13.849,27,0.0442,104.556,0.8540000000000001,1984,you take me up,9,46.0,102.0
0.0183,bryan adams,0.508,216053,0.8340000000000001,0.0,2,0.0732,-6.205,37,0.0386,139.134,0.774,1984,summer of 69,17,74.0,173.0
0.265,cheech  chong,0.619,292827,0.659,0.0,0,0.163,-11.89,27,0.0491,121.679,0.731,1985,born in east la,11,38.0,95.0
0.141,stevie wonder,0.75,318040,0.498,5.610000000000002e-05,7,0.135,-15.939,31,0.0372,119.238,0.857,1985,go home,17,69.0,164.0
0.552,steely dan,0.65,272133,0.46,0.000132,2,0.0957,-14.041,28,0.0376,116.124,0.635,1985,rikki dont lose that number,19,66.0,175.0
0.296,steely dan,0.7240000000000001,348733,0.636,0.00031,7,0.0551,-10.968,27,0.0551,125.019,0.961,1985,my old school,9,24.0,67.0
0.111,billy joel,0.54,326307,0.585,1.3e-05,0,0.0993,-9.955,30,0.0312,82.45100000000002,0.478,1985,the night is still young,10,51.0,120.0
0.127,mick jagger,0.7659999999999999,315613,0.878,0.00391,9,0.102,-4.862,42,0.0585,132.011,0.833,1985,just another night,14,71.0,160.0
0.0567,luther vandross,0.804,332227,0.7140000000000001,6.21e-06,11,0.0253,-6.714,29,0.183,139.66299999999998,0.802,1985,til my baby comes home,16,47.0,129.0
0.667,billy joel,0.338,337253,0.475,3.03e-06,0,0.247,-8.731,31,0.0272,178.387,0.436,1985,piano man,14,49.0,136.0
0.00351,tears for fears,0.609,306329,0.914,0.0069999999999999,7,0.355,-12.556,35,0.0516,119.119,0.532,1985,mothers talk,12,57.0,133.0
0.00265,rick springfield,0.61,232840,0.895,0.000394,0,0.404,-12.273,37,0.0411,109.663,0.75,1985,celebrate youth,11,59.0,135.0
0.0803,billy joel,0.745,282693,0.833,0.00303,2,0.0633,-7.279,31,0.0376,131.017,0.7240000000000001,1985,my life,19,81.0,176.0
0.0597,thompson twins,0.753,260973,0.7140000000000001,2.69e-05,7,0.338,-7.819,32,0.0342,102.681,0.777,1985,lay your hands on me,20,70.0,171.0
0.102,crowded house,0.5720000000000001,184640,0.455,3.38e-06,2,0.172,-15.244000000000002,38,0.035,110.422,0.905,1986,world where you live,8,23.0,64.0
0.237,the skyliners,0.286,159663,0.522,0.0,6,0.32,-5.329,29,0.0312,142.53799999999995,0.564,1986,since i dont have you,19,61.0,160.0
0.00689,a flock of seagulls,0.498,307400,0.659,0.341,2,0.156,-11.189,40,0.0318,146.227,0.647,1986,i ran so far away,22,58.0,165.0
