Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
all dat,moneybagg yo x megan thee stallion,2,99,84
all dat,moneybagg yo x megan thee stallon,2,70,70
all day,kanye west featuring theophilus london allan kingdom  paul mccartney,15,59,93
all day and all of the night,the kinks,12,26,54
all day music,war,11,50,71
all eyes on you,meek mill featuring chris brown  nicki minaj,20,36,57
all eyez,the game featuring jeremih,5,83,93
all eyez on me,monica,7,76,92
all fall down,five star,11,74,97
all falls down,kanye west featuring syleena johnson,20,25,60
all fired up,pat benatar,17,44,92
all for love,bryan adamsrod stewartsting,22,12,41
all for one,high school musical 2 cast,2,92,98
all for you,janet,22,11,49
all for you,sister hazel,41,26,50
all girls are the same,juice wrld,20,60,79
all gold everything,trinidad james,20,56,86
all good,de la soul featuring chaka khan,3,96,100
all good things come to an end,nelly furtado,4,90,97
all his children,charley pride with henry mancini,3,94,97
all i ask for anymore,trace adkins,2,99,95
all i could do was cry,etta james,15,54,80
all i do,somethin for the people,11,61,92
all i do is think of you,troop,13,58,94
all i do is win,dj khaled featuring tpain ludacris snoop dogg  rick ross,24,50,97
all i ever need is you,sonny  cher,15,30,76
all i ever wanted,chuck wicks,4,90,98
all i ever wanted,kelly clarkson,6,97,100
all i have,jennifer lopez featuring ll cool j,21,10,49
all i have,the moments,9,67,76
all i have to do is dream,andy gibb  victoria principal,8,62,92
all i have to do is dream,bobbie gentry  glen campbell,10,43,53
all i have to do is dream,richard chamberlain,12,40,83
all i have to do is dream,the everly brothers,4,74,96
all i have to do is dream,the nitty gritty dirt band,6,78,89
all i have to give,backstreet boys,21,18,50
all i have to offer you is me,charley pride,5,97,97
all i know,garfunkel,14,28,65
all i know,the weeknd featuring future,2,46,83
all i know is the way i feel,the pointer sisters,2,93,98
all i need,fat joe featuring tony sunshine  armageddon,8,91,94
all i need,jack wagner,22,35,94
all i need,the temptations,10,26,42
all i need is a miracle,mike  the mechanics,19,32,89
all i need is time,gladys knight and the pips,7,74,78
all i need is you,blue train,13,75,100
all i need to know,bette midler,4,82,86
all i really want to do,cher,12,41,81
all i really want to do,the byrds,10,55,73
all i see,a,14,73,86
all i see is you,dusty springfield,8,38,54
all i see is your face,dan hill,9,57,93
all i wanna do,sheryl crow,33,21,63
all i wanna do is make love to you,heart,20,25,98
all i want,howard jones,5,83,94
all i want,olivia rodrigo,2,90,100
all i want,susanna hoffs,12,85,97
all i want,toad the wet sprocket,25,33,75
all i want for christmas is you,mariah carey,43,18,40
all i want from good burger,702,12,49,95
all i want is you,carly simon,9,66,96
all i want is you,miguel featuring j cole,14,73,89
all i want is you,u2,4,88,89
all i want to do,sugarland,16,46,83
all i wanted,kansas,18,43,92
all im missing is you,glenn medeiros featuring ray parker jr,13,53,97
all in,lil baby,8,81,99
all in,youngboy never broke again,2,90,97
all in love is fair,barbra streisand,5,71,75
all in my head flex,fifth harmony featuring fetty wap,18,47,89
all in my mind,maxine brown,12,41,73
all jacked up,gretchen wilson,11,69,98
all kinds of kinds,miranda lambert,5,96,99
all lips n hips,electric boys,6,83,93
all me,drake featuring 2 chainz  big sean,20,42,54
all mine,kanye west,9,60,96
all my friends,21 savage,2,67,97
all my friends say,luke bryan,13,74,95
all my hard times,joe simon,2,95,93
all my life,foo fighters,20,59,82
all my life,kci  jojo,36,18,45
all my life,kenny rogers,11,57,97
all my life,linda ronstadt featuring aaron neville,15,34,98
all my love,queen pen featuring eric williams,15,51,99
all my loving,the beatles,6,54,59
all my trials,dick and deedee,3,90,91
all my trials,ray stevens,6,79,85
all n my grill,missy misdemeanor elliott featuring big boi  nicole,14,77,93
all night,beyonce,2,38,64
all night long,billy squier,3,76,87
all night long,faith evans featuring puff daddy,19,40,84
all night long,joe walsh,16,40,93
all night long,sandy nelson,3,84,79
all night long all night,lionel richie,24,19,91
all night thing,the invisible mans band,10,56,91
all night with me,laura branigan,7,82,97
all nite,entouch featuring keith sweat,7,77,95
all of a sudden my heart sings,mel carter,7,52,66
all of a sudden my heart sings,paul anka,17,32,74
all of everything,frankie avalon,4,79,75
all of me,john legend,59,26,100
all of me for all of you,99,13,65,89
all of my days,changing faces featuring jayz,12,83,99
all of my life,lesley gore,6,79,81
all of my love,bobby caldwell,6,80,92
all of the lights,kanye west,25,38,74
all of you,julio iglesias  diana ross,16,43,93
all on me,devin dawson,19,75,97
all or nothing,milli vanilli,14,27,98
all or nothing,otown,20,21,49
all or nothing,patti labelle and the blue belles,6,75,76
all our tomorrows,eddie schwartz,15,46,74
all out of love,air supply,27,29,97
all over again,johnny cash,11,62,88
all over me,josh turner,18,76,91
all over the road,easton corbin,20,66,95
all over the world,electric light orchestra,16,37,100
all over the world,nat king cole,9,57,80
all right,christopher cross,16,26,96
all right now,free,16,25,72
all right now,lea roberts,3,96,92
all right now,pepsi  shirlie,6,77,89
all right now,rod stewart,6,79,96
all roads lead back to you,donny most,3,100,99
all she wants is,duran duran,13,47,99
all she wants to do is dance,don henley,19,37,95
all she wrote,firehouse,14,69,93
all shook up,suzi quatro,3,85,100
all shook up from honeymoon in vegas,billy joel,3,94,94
all star,smash mouth,30,18,50
all strung out,nino tempo  april stevens,8,42,52
all strung out on you,john travolta,8,47,96
all summer long,hit masters,5,45,88
all summer long,kid rock,20,40,65
all summer long,the rock heroes,15,63,100
all that glitters isnt gold,the cover girls,12,67,99
all that i am,elvis presley with the jordanaires,8,52,62
all that i can say,mary j blige,14,58,95
all that matters,justin bieber,8,76,100
all that she wants,ace of base,36,19,68
all the above,maino featuring tpain,20,48,58
all the good girls go to hell,billie eilish,7,73,92
all the kids on the street,the hollywood stars,4,96,99
all the kings horses,aretha franklin,8,40,49
all the kings horses,the firm,8,73,88
all the love in the world,the outfield,16,44,91
all the love ive got,marv johnson,6,74,80
all the man that i need,whitney houston,23,33,100
all the places i will kiss you,aaron hall,16,39,95
all the pretty girls,kenny chesney,14,76,97
all the right moves,jennifer warneschris thompson,4,90,90
all the right moves,onerepublic,34,48,85
all the small things,blink182,23,33,76
all the stars,kendrick lamar  sza,21,29,54
all the things she said,simple minds,13,48,100
all the things she said,tatu,20,49,100
all the things your man wont do from dont be a menace,joe,20,28,58
all the time in the world,dr hook,7,64,96
all the way,calloway,7,72,98
all the way turnt up,roscoe dash featuring soulja boy tellem,12,71,92
all the way up,fat joe remy ma  jay z featuring french montana  infared,20,51,81
all the young dudes,mott the hoople,11,50,69
all these things,the uniques,2,99,97
all these things that ive done,the killers,14,91,100
all things are possible,dan peek,5,88,90
all things considered,yankee grey,20,72,97
all this love,debarge,19,41,97
all this time,sting,15,32,99
all this time,tiffany,21,36,82
all those lies,glenn frey,12,58,99
all those years ago,george harrison,16,25,95
all through the night,cyndi lauper,19,29,96
all through the night,toneloc,7,84,94
all time high,rita coolidge,13,50,100
all time low,jon bellion,22,34,59
all to myself,dan  shay,20,61,93
all touch,rough trade,7,71,76
all true man,alexander oneal,11,62,100
all we know,the chainsmokers featuring phoebe ryan,16,68,95
all woman,lisa stansfield,17,67,93
all you get from love is a love song,carpenters,10,57,95
all you need is love,the beatles,11,15,48
all you wanted,michelle branch,28,26,56
all you zombies,hooters,11,72,100
all your goodies are gone the losers seat,the parliaments,7,90,94
all your life,the band perry,23,60,88
all youve got,rtz,8,72,88
allamerican girl,carrie underwood,20,49,78
allentown,billy joel,22,35,98
allergic,post malone,2,37,78
allergies,paul simon,10,68,100
alley cat,bent fabric and his piano,18,31,66
alleyoop,dante and the evergreens,13,36,75
alleyoop,hollywood argyles,15,18,55
alleyoop,the dynasores,3,76,68
allies,heart,4,88,99
alligator bogaloo,lou donaldson,4,96,95
ally ally oxen free,the kingston trio,7,70,74
almost,bowling for soup,20,65,95
almost doesnt count,brandy,20,36,84
almost grown,chuck berry,13,49,87
almost hear you sigh,the rolling stones,9,63,92
almost home,craig morgan,14,75,94
almost home,mary chapin carpenter,7,88,94
almost in love,elvis presley with the jordanaires,2,99,95
almost in your arms,johnny nash,4,88,96
almost like being in love,michael johnson,12,49,85
almost maybes,jordan davis,17,83,96
almost over you,sheena easton,20,51,97
almost paradiselove theme from footloose,mike reno and ann wilson,20,35,100
almost persuaded,david houston,15,45,74
almost persuaded,etta james,5,81,85
almost persuaded no 2,ben colder,6,71,80
almost saturday night,dave edmunds,8,68,94
almost saturday night,john fogerty,3,84,82
almost summer,celebration featuring mike love,12,52,96
almost there,andy williams,5,77,79
almost unreal from super mario bros,roxette,2,94,99
alone,bee gees,20,48,97
alone,halsey featuring big sean  stefflon don,14,78,99
alone,heart,21,28,99
alone,lasgo,14,91,100
alone,marshmello,10,80,99
alone,the 4 seasons,9,49,83
alone again,dokken,11,75,95
alone again naturally,gilbert osullivan,18,16,59
alone again or,love,3,100,100
alone at last,jackie wilson,15,27,56
alone together,fall out boy,8,83,97
alone with you,brenda lee,6,63,73
alone with you,faron young,5,66,83
alone with you,jake owen,20,56,77
alone with you,tevin campbell,11,81,100
along came jones,ray stevens,8,50,66
along came jones,the coasters,12,31,79
along comes a woman,chicago,16,37,97
along comes mary,baja marimba band,2,96,96
along comes mary,the association,11,33,64
alphabet st,prince,13,26,71
already callin you mine,parmalee,3,100,91
already gone,eagles,15,58,88
already gone,kelly clarkson,31,32,79
already gone,sugarland,19,59,88
already missing you,gerald levert  eddie levert sr,10,82,93
alright,darius rucker,20,50,87
alright,jamiroquai,8,88,100
alright,janet jackson,16,21,82
alright,kendrick lamar,14,88,98
alright,kris kross featuring supercat,19,45,99
alright in the city,dunn  mccashen,2,91,91
alright okay you win,peggy lee,6,74,86
als place,al hes the king hirt,7,74,86
also sprach zarathustra 2001,deodato,12,19,50
alvin stone the birth  death of a gangster,fantastic four,8,82,94
alvins boogaloo,alvin cash  the registers,6,78,80
alvins harmonica,david seville and the chipmunks,15,31,94
alvins orchestra,david seville and the chipmunks,5,59,71
always,atlantic starr,22,31,92
always,bon jovi,32,16,45
always,erasure,23,36,58
always,firefall,13,71,94
always,luther ingram,5,77,78
always,saliva,20,65,95
always,sammy turner,12,41,78
always and forever,heatwave,20,42,99
always and forever,luther vandross,18,73,98
always and forever,whistle,15,53,89
always be my baby,mariah carey,32,16,48
always in my heart,los indios tabajaras,2,94,82
always in my heart,tevin campbell,20,43,83
always its you,the everly brothers,6,69,81
always on my mind,pet shop boys,15,28,100
always on my mind,swv,17,68,98
always on my mind,willie nelson,23,31,94
always on time,ja rule featuring ashanti,27,15,56
always on your side,sheryl crow  sting,8,64,97
always remember us this way,lady gaga,9,59,100
always something there to remind me,naked eyes,22,39,89
always something there to remind me,rb greaves,8,48,73
always strapped,birdman featuring lil wayne,17,74,94
always the last to know,del amitri,17,52,92
always the love songs,eli young band,11,86,100
always there for you,stryper,8,77,99
always together,al martino,8,53,65
always together,the dells,8,44,67
always tomorrow,gloria estefan,6,88,95
alyssa lies,jason michael carroll,12,73,100
am i black enough for you,billy paul,5,90,94
am i dreaming,ol skool featuring keith sweat  xscape,13,62,100
am i forgiven,isle of man,4,92,97
am i grooving you,freddie scott,5,79,80
am i losing you,jim reeves,11,48,62
am i losing you,the partridge family starring shirley jones featuring david cassidy,7,69,73
am i that easy to forget,debbie reynolds,17,44,80
am i that easy to forget,engelbert humperdinck,10,40,69
am i the man,jackie wilson,10,55,77
am i the only one,dierks bentley,20,61,82
am i the same girl,barbara acklin,3,83,82
am i the same girl,swing out sister,12,60,95
am i wrong,love spit love,10,91,99
am i wrong,nico  vinz,31,18,54
am to pm,christina milian,20,62,92
amanda,boston,18,28,98
amanda,dionne warwicke,5,88,90
amanda,waylon,7,67,91
amapola,jacky noguez and his orchestra,6,70,73
amarillo,neil sedaka,7,60,75
amarillo sky,jason aldean,20,75,96
amazed,lonestar,55,26,54
amazing,aerosmith,21,36,67
amazing,josh kelley,20,86,91
amazing,kanye west featuring young jeezy,5,87,99
amazing grace,judy collins,15,36,73
amazing grace,the pipes and drums and the military band of the royal scots dragoon guards,9,24,40
amazing grace used to be her favorite song,amazing rhythm aces,8,84,94
amber cascades,america,4,80,79
ambrose part five,linda laurie,9,64,88
ame caline soul coaxing,raymond lefevre and his orchestra,12,53,82
amen,edens edge,6,90,90
amen,meek mill featuring drake,18,73,99
amen,otis redding,5,58,62
amen,the impressions,11,31,59
america,neil diamond,17,25,93
america,prince and the revolution,7,58,93
america,simon  garfunkel,2,97,97
america,yes,7,59,70
america communicate with me,ray stevens,6,52,52
america is my home  pt 1,james brown and the famous flames,7,68,72
american baby,dave matthews band,11,60,87
american boy,estelle featuring kanye west,30,40,93
american boy,studio allstars,3,68,93
american boys,petula clark,8,69,80
american child,phil vassar,15,64,98
american city suite,cashman  west,11,45,63
american country love song,jake owen,17,68,90
american dream,simon f,2,91,97
american girl,bonnie mckee,6,93,100
american girls,rick springfield,2,98,98
american heartbeat,survivor,16,51,100
american honey,lady antebellum,20,47,99
american idiot,green day,20,73,93
american kids,kenny chesney,20,39,85
american life,madonna,8,66,86
american made,the oak ridge boys,5,76,96
american memories,shamus mcool,3,85,80
american music,the pointer sisters,14,36,93
american oxygen,rihanna,4,87,97
american pie,madonna,9,37,88
american pie parts i  ii,don mclean,19,13,56
american ride,toby keith,16,49,96
american saturday night,brad paisley,15,79,94
american soldier,toby keith,20,44,64
american storm,bob seger,14,33,100
